Series ID,Year,Period,Label,Value
LASST350000000000003,2021,M04,2021 Apr,7.9
LASST350000000000003,2021,M05,2021 May,7.5
LASST350000000000003,2021,M06,2021 Jun,7.4
LASST350000000000003,2021,M07,2021 Jul,7.1
LASST350000000000003,2021,M08,2021 Aug,6.8
LASST350000000000003,2021,M09,2021 Sep,6.3
LASST350000000000003,2021,M10,2021 Oct,6.0
LASST350000000000003,2021,M11,2021 Nov,5.8
LASST350000000000003,2021,M12,2021 Dec,5.6
LASST350000000000003,2022,M01,2022 Jan,5.4
LASST350000000000003,2022,M02,2022 Feb,5.0
LASST350000000000003,2022,M03,2022 Mar,4.6
LASST350000000000003,2022,M04,2022 Apr,4.4
LASST350000000000003,2022,M05,2022 May,4.1
LASST350000000000003,2022,M06,2022 Jun,3.9
LASST350000000000003,2022,M07,2022 Jul,3.6
LASST350000000000003,2022,M08,2022 Aug,3.4
LASST350000000000003,2022,M09,2022 Sep,3.5
LASST350000000000003,2022,M10,2022 Oct,3.6
LASST350000000000003,2022,M11,2022 Nov,3.6
LASST350000000000003,2022,M12,2022 Dec,3.6
LASST350000000000003,2023,M01,2023 Jan,3.6
LASST350000000000003,2023,M02,2023 Feb,3.6
LASST350000000000003,2023,M03,2023 Mar,3.6
LASST350000000000003,2023,M04,2023 Apr,3.6
LASST350000000000003,2023,M05,2023 May,3.6
LASST350000000000003,2023,M06,2023 Jun,3.6
LASST350000000000003,2023,M07,2023 Jul,3.7
LASST350000000000003,2023,M08,2023 Aug,3.8
LASST350000000000003,2023,M09,2023 Sep,3.9
LASST350000000000003,2023,M10,2023 Oct,4.0
LASST350000000000003,2023,M11,2023 Nov,4.0
LASST350000000000003,2023,M12,2023 Dec,4.0
LASST350000000000003,2024,M01,2024 Jan,4.0
LASST350000000000003,2024,M02,2024 Feb,3.9
LASST350000000000003,2024,M03,2024 Mar,3.8
LASST350000000000003,2024,M04,2024 Apr,3.8
LASST350000000000003,2024,M05,2024 May,3.8
LASST350000000000003,2024,M06,2024 Jun,3.9
